exp,wks,occ,ind,south,smsa,ms,fem,union,ed,blk,lwage,unit,time
12,40,1,0,0,0,1,0,1,16,0,6.6333,5,3
13,50,0,0,0,0,1,0,0,16,0,6.9829,5,4
14,47,1,0,0,1,1,0,0,16,0,7.0475,5,5
15,47,0,0,0,0,1,0,0,16,0,7.3132,5,6
16,49,0,0,0,0,1,0,0,16,0,7.2957,5,7
26,44,1,1,0,1,1,0,0,12,0,6.9058,6,1
27,47,1,1,0,1,1,0,0,12,0,6.9058,6,2
28,47,1,1,0,1,1,0,0,12,0,6.9078,6,3
29,47,1,1,0,1,1,0,0,12,0,7.0031,6,4
30,44,1,1,0,1,1,0,0,12,0,7.0690,6,5
31,45,1,1,0,1,1,0,0,12,0,7.5202,6,6
32,47,1,1,0,1,1,0,0,12,0,7.3389,6,7
15,46,1,0,0,0,1,0,1,12,0,6.1334,7,1
16,48,1,0,0,0,1,0,1,12,0,6.1738,7,2
17,49,1,0,0,0,1,0,1,12,0,6.2126,7,3
18,46,1,0,0,0,1,0,1,12,0,6.3136,7,4
19,47,1,0,0,0,1,0,1,12,0,6.3750,7,5
20,47,1,0,0,0,1,0,1,12,0,6.4457,7,6
21,48,1,0,0,0,1,0,1,12,0,6.5221,7,7
23,51,1,1,1,0,1,0,1,10,0,6.3315,8,1
24,50,1,1,1,0,1,0,1,10,0,6.4036,8,2
25,50,1,1,1,0,1,0,1,10,0,6.5439,8,3
26,50,1,1,1,0,1,0,1,10,0,6.5624,8,4
27,44,1,1,0,1,1,0,1,10,0,6.5917,8,5
28,51,1,1,0,1,1,0,1,10,0,6.8178,8,6
29,51,1,1,0,1,1,0,1,10,0,6.8916,8,7
3,50,0,0,1,1,1,0,0,16,0,6.5511,9,1
4,48,0,0,1,1,1,0,0,16,0,6.5511,9,2
5,50,0,0,1,1,1,0,0,16,0,6.8024,9,3
6,48,0,0,1,1,1,0,0,16,0,6.9078,9,4
7,48,0,0,1,1,1,0,0,16,0,7.0901,9,5
8,44,0,0,1,1,1,0,0,16,0,7.1701,9,6
9,48,0,0,1,1,1,0,0,16,0,7.2079,9,7
3,49,0,0,1,1,1,0,0,16,0,6.3969,10,1
4,47,0,0,1,1,1,0,0,16,0,6.4378,10,2
5,46,0,0,1,1,1,0,0,16,0,6.4378,10,3
6,44,0,0,1,1,1,0,0,16,0,6.4378,10,4
7,43,0,0,1,1,1,0,0,16,0,6.5221,10,5
8,34,0,0,1,1,1,0,0,16,0,6.6134,10,6
9,40,0,0,1,1,1,0,0,16,0,6.7393,10,7
24,47,1,0,0,1,0,0,1,12,0,6.6580,11,1
25,48,1,0,0,1,0,0,1,12,0,6.7262,11,2
26,45,1,0,0,1,0,0,1,12,0,6.8024,11,3
27,45,1,0,0,1,1,0,1,12,0,6.9078,11,4
28,47,1,0,0,1,1,0,1,12,0,7.0397,11,5
29,17,1,0,0,1,1,0,1,12,0,7.1277,11,6
30,47,1,0,0,1,1,0,1,12,0,7.2442,11,7
21,47,1,0,1,1,1,0,1,12,0,6.5511,12,1
22,46,1,0,1,1,1,0,1,12,0,6.6294,12,2
23,47,1,0,1,1,1,0,1,12,0,6.7226,12,3
24,47,1,0,1,1,1,0,1,12,0,6.7334,12,4
25,47,1,0,1,1,1,0,1,12,0,6.7226,12,5
26,47,1,0,1,1,1,0,1,12,0,6.9518,12,6
27,46,1,0,1,1,1,0,1,12,0,7.0527,12,7
26,48,1,0,1,1,1,0,0,12,0,6.9058,13,1
27,48,1,0,1,1,1,0,0,12,0,6.9007,13,2
28,50,1,0,1,1,1,0,0,12,0,7.1701,13,3
29,48,1,0,1,1,1,0,0,12,0,7.2654,13,4
30,48,1,0,1,1,1,0,0,12,0,7.2591,13,5
31,46,0,0,1,1,1,0,0,12,0,7.2549,13,6
32,46,1,0,1,1,1,0,0,12,0,7.4000,13,7
15,45,0,0,1,1,1,0,0,17,0,6.8024,14,1
16,45,0,0,1,1,1,0,0,17,0,6.8024,14,2
17,45,0,0,1,1,1,0,0,17,0,6.9256,14,3
18,44,0,0,1,1,1,0,0,17,0,7.0031,14,4
19,44,0,0,1,1,1,0,0,17,0,7.1309,14,5
20,44,0,0,1,1,1,0,0,17,0,7.1245,14,6
21,44,0,0,1,1,1,0,0,17,0,7.1229,14,7
9,50,0,0,0,0,0,1,0,14,0,5.9402,15,1
10,46,0,0,0,0,0,1,0,14,0,5.8608,15,2
11,48,0,0,0,0,0,1,0,14,0,5.9989,15,3
12,46,0,0,0,0,0,1,0,14,0,6.0845,15,4
13,48,0,0,0,0,0,1,0,14,0,6.3953,15,5
14,41,0,0,0,0,0,1,0,14,0,6.4770,15,6
15,48,0,0,0,0,0,1,0,14,0,6.4770,15,7
16,50,1,0,1,1,0,1,0,12,1,5.9789,16,1
17,50,1,0,1,1,0,1,0,12,1,5.7838,16,2
18,48,1,0,1,1,0,1,0,12,1,5.8579,16,3
19,48,1,0,1,1,0,1,0,12,1,5.9532,16,4
20,50,1,0,1,1,0,1,0,12,1,6.1463,16,5
21,50,1,0,1,1,0,1,0,12,1,6.1759,16,6
22,49,1,0,1,1,0,1,0,12,1,6.3886,16,7
16,49,0,1,0,0,1,0,0,14,0,6.6201,17,1
17,48,0,1,0,0,1,0,0,14,0,6.4922,17,2
18,49,0,1,0,0,1,0,0,14,0,6.7799,17,3
19,50,0,1,0,0,1,0,0,14,0,6.7452,17,4
20,51,0,1,0,0,1,0,0,14,0,7.0901,17,5
21,46,0,1,0,0,1,0,0,14,0,7.1309,17,6
22,47,0,1,0,0,1,0,0,14,0,7.1309,17,7
25,47,0,1,1,1,1,0,0,16,0,6.9058,18,1
26,46,0,1,1,1,1,0,0,16,0,6.9058,18,2
27,47,0,1,1,1,1,0,0,16,0,7.6009,18,3
28,47,0,1,1,1,1,0,0,16,0,7.6497,18,4
29,47,0,1,1,1,1,0,0,16,0,7.7187,18,5
30,48,0,1,1,1,1,0,0,16,0,7.7832,18,6
31,47,0,1,1,1,1,0,0,16,0,7.8038,18,7
40,37,1,1,0,1,1,0,1,12,0,6.3869,19,1
41,49,1,1,0,1,1,0,1,12,0,6.4739,19,2
42,50,1,1,0,1,1,0,1,12,0,6.5425,19,3
43,47,1,1,0,1,1,0,1,12,0,6.6758,19,4
44,47,1,1,0,1,1,0,1,12,0,6.7417,19,5
45,25,1,1,0,1,1,0,1,12,0,6.8320,19,6
46,40,1,1,0,1,1,0,1,12,0,6.9363,19,7
25,50,0,0,0,0,1,0,0,16,0,6.7833,20,1
26,49,0,1,0,0,1,0,0,16,0,6.8575,20,2
27,49,0,1,0,0,1,0,0,16,0,6.9847,20,3
28,48,0,1,0,0,1,0,0,16,0,7.0579,20,4
29,48,0,1,0,0,1,0,0,16,0,7.2056,20,5
30,49,0,1,0,0,1,0,0,16,0,7.1099,20,6
31,48,0,1,0,0,1,0,0,16,0,7.2668,20,7
28,42,1,1,1,0,1,0,1,4,0,6.0591,21,1
29,46,1,1,1,0,1,0,1,4,0,6.0521,21,2
30,49,1,1,1,0,1,0,1,4,0,5.9915,21,3
31,49,1,1,1,0,1,0,1,4,0,6.2146,21,4
32,48,1,0,1,0,1,0,1,4,0,6.3244,21,5
33,45,1,0,1,0,1,0,1,4,0,6.4425,21,6
34,42,1,1,1,0,1,0,1,4,0,6.4425,21,7
20,46,0,0,0,0,1,0,0,14,0,6.5999,22,1
21,45,0,0,0,0,1,0,0,14,0,6.5999,22,2
22,44,0,0,0,0,1,0,0,14,0,6.6846,22,3
23,46,0,0,0,0,1,0,0,14,0,6.7274,22,4
24,47,0,0,0,0,1,0,0,14,0,6.8824,22,5
25,51,0,1,0,0,1,0,0,14,0,6.9566,22,6
26,47,0,0,0,0,1,0,0,14,0,7.0475,22,7
11,50,0,0,0,1,1,0,0,16,0,6.9058,23,1
12,50,0,0,0,1,1,0,0,16,0,6.9058,23,2
13,51,0,0,0,1,1,0,0,16,0,7.4955,23,3
14,50,0,0,0,1,1,0,0,16,0,7.6615,23,4
15,48,0,0,0,1,1,0,0,16,0,7.8633,23,5
16,47,0,0,0,1,1,0,0,16,0,8.0392,23,6
17,50,0,0,0,1,1,0,0,16,0,7.8936,23,7
5,30,0,0,0,0,0,1,0,12,0,5.4381,24,1
6,51,0,0,0,0,0,1,0,12,0,5.5215,24,2
7,51,1,0,0,0,0,1,0,12,0,5.5797,24,3
8,52,1,0,0,0,0,1,0,12,0,5.6699,24,4
9,49,1,0,0,0,0,1,0,12,0,5.7366,24,5
10,51,1,0,0,0,0,1,1,12,0,5.8435,24,6
11,50,1,0,0,0,0,1,0,12,0,5.8579,24,7
8,37,0,0,0,1,1,0,1,17,0,6.5294,25,1
9,39,0,0,0,1,1,0,1,17,0,6.5793,25,2
10,40,0,0,0,1,1,0,1,17,0,6.7154,25,3
11,38,0,0,0,1,1,0,1,17,0,6.6846,25,4
12,38,0,0,0,1,1,0,1,17,0,6.7912,25,5
13,39,0,0,0,1,1,0,1,17,0,6.9754,25,6
14,41,0,0,0,1,1,0,1,17,0,6.9078,25,7
14,48,0,1,1,1,1,0,0,15,0,6.4770,26,1
15,47,1,1,1,1,1,0,0,15,0,6.5511,26,2
16,49,0,1,1,1,1,0,0,15,0,6.8669,26,3
17,48,0,1,1,1,1,0,0,15,0,6.8565,26,4
18,47,0,1,1,1,1,0,0,15,0,7.2793,26,5
19,47,0,1,1,1,1,0,0,15,0,7.5496,26,6
20,48,0,1,1,1,1,0,0,15,0,7.3671,26,7
8,50,0,0,0,1,0,0,0,16,0,6.0162,27,1
9,52,0,0,0,1,0,0,0,16,0,6.9058,27,2
10,48,0,0,0,0,0,0,0,16,0,7.0475,27,3
11,50,0,0,0,0,0,0,0,16,0,7.2619,27,4
12,50,0,0,0,0,0,0,0,16,0,7.0901,27,5
13,45,0,0,0,0,0,0,0,16,0,6.9632,27,6
14,23,0,0,0,0,0,0,0,16,0,7.3132,27,7
26,50,1,0,0,1,1,0,0,12,0,6.7334,28,1
27,50,1,0,0,1,1,0,0,12,0,6.6970,28,2
28,50,1,0,0,1,1,0,0,12,0,6.6846,28,3
29,50,1,0,0,1,1,0,0,12,0,6.7452,28,4
30,50,1,0,0,1,1,0,0,12,0,6.7310,28,5
31,49,1,0,0,1,1,0,0,12,0,6.8024,28,6
32,49,1,0,0,1,1,0,0,12,0,6.7452,28,7
31,49,0,0,0,1,1,0,0,14,0,6.9058,29,1
32,49,0,0,0,1,1,0,0,14,0,6.9058,29,2
33,49,0,0,0,1,1,0,0,14,0,7.0622,29,3
34,49,0,0,0,1,1,0,0,14,0,7.5756,29,4
35,50,0,0,0,1,1,0,0,14,0,7.6732,29,5
36,49,0,0,0,1,1,0,0,14,0,7.4731,29,6
37,49,0,0,0,1,1,0,0,14,0,7.5601,29,7
17,47,0,0,1,1,0,1,0,12,0,6.1964,30,1
18,47,0,0,1,1,0,1,0,12,0,6.2989,30,2
19,48,0,0,1,1,0,1,0,12,0,6.3315,30,3
20,49,0,0,1,1,0,1,0,12,0,6.3630,30,4
21,49,0,0,1,1,0,1,0,12,0,6.4816,30,5
22,45,0,0,1,1,0,1,0,12,0,6.5779,30,6
23,49,0,0,1,1,0,1,0,12,0,6.6438,30,7
22,48,0,1,0,1,1,0,0,17,0,6.9058,31,1
23,48,0,1,0,1,1,0,0,17,0,6.9058,31,2
24,48,0,1,0,1,1,0,0,17,0,7.3132,31,3
25,47,0,1,0,1,1,0,0,17,0,7.2442,31,4
26,43,0,1,0,1,1,0,0,17,0,7.4844,31,5
27,47,0,0,0,1,1,0,0,17,0,7.5496,31,6
28,45,0,1,0,1,1,0,0,17,0,7.6133,31,7
30,50,0,1,0,1,1,0,0,16,0,6.9058,32,1
31,49,0,1,0,1,1,0,0,16,0,6.9058,32,2
32,49,0,1,0,1,1,0,0,16,0,7.4674,32,3
33,48,0,1,0,1,1,0,0,16,0,7.4085,32,4
34,49,0,1,0,1,1,0,0,16,0,7.6059,32,5
35,47,0,1,0,1,1,0,0,16,0,8.0488,32,6
36,47,0,1,0,1,1,0,0,16,0,7.7407,32,7
14,51,0,0,0,1,1,0,0,16,0,6.9058,33,1
15,47,0,0,0,1,1,0,0,16,0,6.9058,33,2
16,51,0,0,0,1,1,0,0,16,0,7.1701,33,3
17,47,0,0,0,1,1,0,0,16,0,7.2793,33,4
18,48,0,0,0,1,1,0,0,16,0,7.2406,33,5
19,50,0,0,0,1,1,0,0,16,0,7.3778,33,6
20,49,0,0,0,1,1,0,0,16,0,7.4674,33,7
45,48,1,0,1,0,1,0,0,8,0,5.7589,34,1
46,48,1,0,1,0,1,0,0,8,0,5.8608,34,2
47,48,1,0,1,0,1,0,0,8,0,5.8231,34,3
48,49,1,0,1,0,1,0,0,8,0,5.9480,34,4
49,50,1,0,1,0,1,0,0,8,0,6.2480,34,5
50,48,1,0,1,0,1,0,0,8,0,6.2066,34,6
51,46,1,0,1,0,1,0,0,8,0,5.9839,34,7
8,30,1,0,0,1,1,0,1,13,1,6.5147,35,1
9,49,1,1,0,1,1,0,1,13,1,6.6107,35,2
10,48,1,1,0,1,1,0,1,13,1,6.3969,35,3
11,49,1,1,0,1,1,0,1,13,1,6.7523,35,4
12,34,1,1,0,1,1,0,1,13,1,6.8865,35,5
13,48,1,1,0,1,1,0,1,13,1,7.0121,35,6
14,45,1,1,0,1,1,0,1,13,1,7.0255,35,7
15,52,1,0,1,1,1,0,0,10,0,6.6201,36,1
16,47,0,0,1,1,1,0,0,10,0,6.7742,36,2
17,50,0,0,1,0,1,0,0,10,0,7.1309,36,3
18,50,0,0,1,0,1,0,0,10,0,7.0884,36,4
19,48,0,0,1,1,1,0,0,10,0,7.1309,36,5
20,50,0,0,1,1,1,0,0,10,0,6.9078,36,6
21,41,0,0,1,1,1,0,0,10,0,7.1801,36,7
12,52,0,0,0,1,1,0,0,14,0,6.9058,37,1
13,47,0,0,0,1,1,0,0,14,0,6.7417,37,2
14,50,0,0,0,1,1,0,0,14,0,7.0031,37,3
15,49,0,0,0,1,1,0,0,14,0,7.1309,37,4
16,50,0,0,0,1,1,0,0,14,0,7.1428,37,5
17,48,0,0,0,1,1,0,0,14,0,7.2828,37,6
18,49,0,0,0,1,0,0,0,14,0,7.4091,37,7
10,48,1,1,0,0,1,0,1,12,0,6.0521,38,1
11,49,1,1,0,0,1,0,1,12,0,6.0521,38,2
12,48,1,1,0,0,1,0,1,12,0,6.0521,38,3
13,48,1,1,0,0,1,0,1,12,0,6.3682,38,4
14,49,1,1,0,0,1,0,1,12,0,6.4361,38,5
15,48,0,1,0,0,1,0,1,12,0,6.5496,38,6
16,49,1,1,0,0,1,0,1,12,0,6.5221,38,7
6,47,0,0,0,1,1,0,0,13,0,6.4770,39,1
7,51,0,0,0,1,0,0,0,13,0,6.5862,39,2
8,48,0,0,0,1,0,0,0,13,0,6.4770,39,3
9,50,0,0,0,1,0,0,0,13,0,6.5294,39,4
10,50,0,0,0,1,0,0,0,13,0,6.8024,39,5
11,52,0,0,0,1,0,0,0,13,0,6.7799,39,6
12,51,0,0,0,1,1,0,0,13,0,6.8079,39,7
30,47,0,0,1,0,1,0,1,8,0,6.3578,40,1
31,39,0,0,1,0,1,0,1,8,0,6.4998,40,2
32,32,0,0,1,0,1,0,1,8,0,6.5820,40,3
33,35,0,0,1,0,1,0,1,8,0,6.6946,40,4
34,47,0,0,1,0,1,0,1,8,0,6.7878,40,5
35,45,0,0,1,0,1,0,1,8,0,6.9078,40,6
36,47,0,0,1,0,1,0,1,8,0,7.3582,40,7
20,50,0,0,1,1,1,0,0,16,0,6.9058,41,1
21,50,0,0,1,1,1,0,0,16,0,6.9058,41,2
22,50,0,0,1,1,1,0,0,16,0,7.3778,41,3
23,50,0,0,1,1,1,0,0,16,0,7.4911,41,4
24,50,0,0,1,1,1,0,0,16,0,7.5756,41,5
25,48,0,0,1,1,1,0,0,16,0,7.5283,41,6
26,47,0,0,1,1,1,0,0,16,0,7.7450,41,7
30,38,1,1,0,1,0,1,1,12,1,6.2186,42,1
31,41,1,0,0,1,0,1,1,12,1,6.4938,42,2
32,51,1,0,0,1,0,1,1,12,1,6.5806,42,3
33,50,1,1,0,1,0,1,1,12,1,6.6896,42,4
34,42,1,1,0,1,0,1,1,12,1,6.7935,42,5
35,50,1,1,0,1,0,1,1,12,1,6.9246,42,6
36,49,1,1,0,1,0,1,1,12,1,7.0255,42,7
5,49,0,0,0,1,1,0,0,16,0,6.6846,43,1
6,47,0,0,0,1,1,0,0,16,0,6.8438,43,2
7,48,0,0,0,1,1,0,0,16,0,6.9078,43,3
8,49,0,0,0,1,1,0,0,16,0,7.0031,43,4
9,46,0,0,0,1,1,0,0,16,0,7.1309,43,5
10,45,0,0,0,1,1,0,0,16,0,7.4085,43,6
11,49,0,0,0,1,1,0,0,16,0,7.4384,43,7
7,48,0,1,0,1,1,0,0,17,0,6.9058,44,1
8,48,0,1,0,1,1,0,0,17,0,6.9058,44,2
9,48,0,1,0,1,1,0,0,17,0,7.2079,44,3
10,47,0,1,0,1,1,0,0,17,0,7.3132,44,4
11,46,0,1,0,1,1,0,0,17,0,7.4384,44,5
12,46,0,1,0,1,1,0,0,17,0,7.4933,44,6
13,46,0,1,0,1,1,0,0,17,0,7.6009,44,7
13,49,0,0,0,1,0,1,0,13,0,6.2246,45,1
14,50,0,0,0,1,0,1,0,13,0,6.3333,45,2
15,50,0,0,0,1,0,1,0,13,0,6.3099,45,3
16,50,0,0,0,1,0,1,0,13,0,6.4770,45,4
17,50,0,0,0,1,0,1,0,13,0,6.6333,45,5
18,50,0,0,0,1,0,1,0,13,0,6.6821,45,6
19,49,0,0,0,1,0,1,0,13,0,6.6529,45,7
6,42,1,0,0,0,1,0,1,12,0,6.1269,46,1
7,44,1,0,0,0,1,0,1,12,0,6.2325,46,2
8,48,1,0,0,0,1,0,1,12,0,6.3262,46,3
9,47,1,0,0,0,1,0,1,12,0,6.3244,46,4
10,48,1,0,0,0,1,0,1,12,0,6.4677,46,5
11,47,0,0,0,0,1,0,1,12,0,6.6067,46,6
12,47,1,0,0,0,1,0,1,12,0,6.5511,46,7
26,48,0,0,0,1,1,0,0,14,0,6.9058,47,1
27,49,0,0,0,1,1,0,0,14,0,6.9058,47,2
28,48,0,0,0,1,1,0,0,14,0,7.0475,47,3
29,48,0,0,0,1,1,0,0,14,0,7.0901,47,4
30,48,0,0,0,1,1,0,0,14,0,7.2079,47,5
31,47,0,0,0,1,1,0,0,14,0,7.1180,47,6
32,48,0,0,0,1,1,0,0,14,0,7.0901,47,7
26,50,0,1,0,1,0,0,0,16,0,6.9058,48,1
27,50,0,1,0,1,0,0,0,16,0,6.9058,48,2
28,50,0,1,0,1,0,0,0,16,0,7.1309,48,3
29,50,0,1,0,1,0,0,0,16,0,7.2262,48,4
30,48,0,1,0,1,1,0,0,16,0,7.1309,48,5
31,41,0,1,0,1,1,0,0,16,0,7.3132,48,6
32,49,0,1,0,1,0,0,0,16,0,7.4384,48,7
31,47,0,1,0,0,1,0,0,16,0,6.9058,49,1
32,46,0,1,0,0,1,0,0,16,0,6.9058,49,2
33,47,0,1,0,0,1,0,0,16,0,7.6009,49,3
34,48,0,1,0,0,1,0,0,16,0,7.6760,49,4
35,47,0,1,0,0,1,0,0,16,0,7.7021,49,5
36,49,0,1,0,0,1,0,0,16,0,7.6962,49,6
37,48,0,1,0,0,1,0,0,16,0,7.8208,49,7
31,50,0,0,0,1,0,1,1,12,0,6.2710,50,1
32,45,0,0,0,1,0,1,1,12,0,6.3986,50,2
33,43,0,0,0,1,0,1,1,12,0,6.4831,50,3
34,48,0,0,0,1,0,1,1,12,0,6.5568,50,4
35,46,0,0,0,1,0,1,1,12,0,6.6554,50,5
36,32,0,0,0,1,0,1,1,12,0,6.7488,50,6
37,28,0,0,0,1,0,1,1,12,0,6.8491,50,7
31,45,0,1,0,1,1,0,0,17,0,6.9058,51,1
32,48,0,1,0,1,1,0,0,17,0,6.9058,51,2
33,48,0,1,0,1,1,0,0,17,0,7.6009,51,3
34,47,0,0,0,1,1,0,0,17,0,7.6497,51,4
35,48,0,1,0,1,1,0,0,17,0,7.8240,51,5
36,47,0,1,0,1,1,0,0,17,0,7.8633,51,6
37,44,0,1,0,1,1,0,0,17,0,7.9194,51,7
25,46,0,0,0,1,1,0,0,16,0,6.9058,52,1
26,49,0,0,0,1,1,0,0,16,0,6.9058,52,2
27,49,0,0,0,1,1,0,0,16,0,7.2442,52,3
28,48,0,0,0,1,1,0,0,16,0,7.1309,52,4
29,48,0,0,0,1,1,0,0,16,0,7.4674,52,5
30,48,0,0,0,1,1,0,0,16,0,7.6009,52,6
31,49,0,0,0,1,1,0,1,16,0,7.6497,52,7
13,47,0,0,1,0,1,0,0,13,0,6.4361,53,1
14,49,0,0,1,0,1,0,0,13,0,6.9058,53,2
15,48,1,0,0,0,1,0,0,13,0,6.9566,53,3
16,49,1,0,0,0,1,0,0,13,0,6.9566,53,4
17,48,0,0,0,0,1,0,0,13,0,7.0605,53,5
18,47,1,0,0,0,1,0,0,13,0,7.2079,53,6
19,48,0,0,0,0,1,0,0,13,0,7.2079,53,7
13,47,1,1,0,0,1,0,1,11,0,6.5118,54,1
14,52,1,1,0,0,1,0,1,11,0,6.5903,54,2
15,51,1,1,0,0,1,0,1,11,0,6.6846,54,3
16,51,1,1,0,0,1,0,1,11,0,6.7452,54,4
17,49,1,1,0,0,1,0,1,11,0,6.8977,54,5
18,49,1,1,0,0,1,0,1,11,0,7.0775,54,6
19,50,1,1,0,0,1,0,1,11,0,7.1000,54,7
32,49,1,1,0,1,1,0,1,8,0,6.6541,55,1
33,49,1,1,0,1,1,0,1,8,0,6.8501,55,2
34,49,1,1,0,1,1,0,1,8,0,6.8565,55,3
35,47,1,1,0,1,1,0,1,8,0,6.9236,55,4
36,48,1,1,0,1,1,0,1,8,0,7.0414,55,5
37,47,1,1,0,1,1,0,1,8,0,7.1333,55,6
38,46,1,1,0,1,1,0,1,8,0,7.2079,55,7
23,51,1,1,1,0,1,0,0,12,0,6.1093,56,1
24,49,1,1,1,0,1,0,0,12,0,6.1633,56,2
25,52,1,1,1,0,1,0,0,12,0,6.3333,56,3
26,52,1,1,1,0,1,0,0,12,0,6.3333,56,4
27,48,1,1,1,0,1,0,0,12,0,6.4378,56,5
28,50,1,1,1,0,1,0,0,12,0,6.5862,56,6
29,50,1,1,1,0,1,0,0,12,0,6.5338,56,7
21,47,1,0,1,1,1,0,0,11,0,6.0403,57,1
22,49,1,0,1,1,1,0,0,11,0,6.2897,57,2
23,49,1,0,1,1,1,0,0,11,0,6.0162,57,3
24,49,0,0,1,1,1,0,0,11,0,6.5779,57,4
25,47,0,0,1,1,1,0,0,11,0,6.5511,57,5
26,48,0,0,1,1,1,0,0,11,0,6.5323,57,6
27,48,0,0,1,1,1,0,0,11,0,6.3136,57,7
37,49,1,1,0,1,1,0,1,14,0,6.5511,58,1
38,48,1,1,0,1,1,0,1,14,0,6.6846,58,2
39,40,1,1,0,1,1,0,1,14,0,6.6970,58,3
40,48,1,1,0,1,1,0,0,14,0,6.9078,58,4
41,48,1,1,0,1,1,0,1,14,0,7.0031,58,5
42,48,1,1,0,1,1,0,1,14,0,7.1624,58,6
43,48,1,1,0,1,1,0,0,14,0,7.1309,58,7
26,48,0,1,0,1,1,0,0,17,0,6.9058,59,1
27,49,0,1,0,1,1,0,0,17,0,6.9058,59,2
28,48,0,1,0,1,1,0,0,17,0,7.3460,59,3
29,47,0,1,0,1,1,0,0,17,0,7.4384,59,4
30,46,0,1,0,1,1,0,0,17,0,7.4816,59,5
31,48,0,1,0,1,1,0,0,17,0,7.6009,59,6
32,46,0,1,0,1,1,0,0,17,0,7.6497,59,7
18,46,0,0,0,1,0,1,1,11,1,5.9764,60,1
19,39,0,0,0,1,0,1,1,11,1,6.0403,60,2
20,44,0,0,0,1,0,1,1,11,1,6.0403,60,3
21,49,1,0,0,1,0,1,1,11,1,6.0403,60,4
22,48,0,0,0,1,0,1,1,11,1,6.1203,60,5
23,47,1,0,0,1,0,1,1,11,1,6.2186,60,6
24,43,1,0,0,1,0,1,1,11,1,6.1717,60,7
24,50,0,0,0,1,0,1,1,17,0,6.7856,61,1
25,51,0,0,0,1,0,1,0,17,0,6.8886,61,2
26,51,0,0,0,1,0,1,0,17,0,6.8876,61,3
27,50,0,0,0,1,0,1,0,17,0,6.9688,61,4
28,22,0,0,0,1,0,1,0,17,0,6.8565,61,5
29,41,0,0,0,1,0,1,0,17,0,6.7382,61,6
30,26,0,0,0,1,0,1,0,17,0,7.1309,61,7
7,50,1,0,1,0,1,0,0,16,0,6.5806,62,1
8,50,1,1,1,0,1,0,0,16,0,6.8352,62,2
9,50,1,1,1,0,1,0,0,16,0,6.9127,62,3
10,50,1,1,1,0,1,0,0,16,0,6.9585,62,4
11,49,1,1,1,0,1,0,0,16,0,6.9256,62,5
12,49,1,1,1,0,1,0,0,16,0,7.2378,62,6
13,49,1,1,1,0,1,0,0,16,0,7.2724,62,7
11,50,0,0,0,0,1,0,0,17,0,6.9058,63,1
12,49,0,0,0,0,1,0,0,17,0,6.9058,63,2
13,50,0,0,0,0,1,0,0,17,0,7.4955,63,3
14,49,0,0,0,0,1,0,0,17,0,7.5496,63,4
15,49,0,0,0,0,1,0,0,17,0,7.5256,63,5
16,48,0,0,0,0,1,0,0,17,0,7.7289,63,6
17,50,0,0,0,0,1,0,0,17,0,7.3665,63,7
34,44,1,1,0,1,1,0,0,12,0,6.3561,64,1
35,46,1,1,0,1,1,0,0,12,0,6.4216,64,2
36,49,1,1,0,1,1,0,0,12,0,6.4770,64,3
37,48,1,1,0,1,1,0,0,12,0,6.5367,64,4
38,45,1,1,0,1,1,0,0,12,0,6.5511,64,5
39,47,1,1,0,1,1,0,0,12,0,6.6846,64,6
40,50,1,1,0,1,1,0,0,12,0,6.8024,64,7
